Sites	X	y	%FREQ_NOFLOW	HER2
L1200002	470635.2	2133840.8	0.00	97
L1210001	473175.9	2134263.9	10.71	97
L1210002	472032.2	2144290.8	0.00	97
L1210003	471485.4	2139090.8	0.00	97
L1220001	469378.1	2144440.8	0.00	97
L1310002	480727	2140462.8	10.71	97
L1310003	481874	2141915.8	28.57	97
L1310004	475499	2142640.8	3.57	97
L1310005	473549	2151440.8	7.14	97
L1320001	482724.5	2144266.2	28.57	97
L1320003	474664.9	2151190.8	0.00	97
L1400611	475800.1	2155790.8	7.14	97
L1410001	470534.8	2153476.5	0.00	97
L1420001	471134.5	2165890.8	14.29	97
L1430001	463940.1	2159131.9	0.00	97
L1430002	468429	2165410.8	0.00	97
L1440611	475349.1	2168040.8	64.29	97
L2000001	464633.3	2118906.5	40.74	97
L2000002	463649	2125213.5	21.43	97
L2000003	460627.2	2136918.9	0.00	97
L2010001	459499	2132440.4	3.57	97
L2010002	457499	2132307.8	0.00	97
L2010003	456059.9	2132451.6	0.00	97
L2020001	446959.7	2142080	14.29	97
L2020002	446910.6	2142052.3	3.57	97
L2020003	447452.6	2143794.3	0.00	97
L2030001	439949.7	2148591.4	0.00	97
L2030002	443099	2146008.1	0.00	97
L2103011	431415.5	2146874.3	51.61	97
L2103012	422467.9	2141002.4	9.68	97
L2103013	433749	2146747.6	3.57	97
L2114011	427338.3	2135090.8	45.16	97
L2114012	423770.2	2134540.8	54.84	97
L2114013	438584.6	2151676.3	0.00	97
L2240001	424751	2167140.8	21.43	97
L2253011	434280.3	2158209.4	0.00	97
L2253012	436199	2158380	0.00	97
L2253013	429299	2165154.7	21.43	97
L2253014	437816.7	2163285.1	0.00	97
L2253015	437576.3	2165418	0.00	97
L2253016	438199	2164709.2	0.00	97
L2253017	437699	2159590.8	0.00	97
L2253018	440435.9	2160453.9	3.57	97
L2303011	464199	2134298.8	0.00	97
L2303012	455897.9	2150103.5	28.57	97
L2303013	460707.3	2143732.5	32.14	97
L2303014	460859.6	2144980.2	3.57	97
L2313012	444653.1	2160686.6	0.00	97
L2313013	449516	2151157.7	0.00	97
L2321621	443499	2162964.7	0.00	97
L2321622	442060.6	2170490.8	0.00	97
L2321623	449200.6	2166642.3	0.00	97
L2334011	453963.8	2163305.5	7.14	97
L2334012	454349	2167890.7	3.57	97
L2404041	424556.4	2175840.8	0.00	97
L2404042	437049	2174365	3.57	97
L2424011	415158	2182499.7	9.38	97
L2424012	415328.3	2179620	0.00	97
L2424013	421840.1	2183249.7	0.00	97
L2424014	427030.1	2182690.8	0.00	97
L2430001	416647.7	2185289.4	6.45	97
L2430002	420895.1	2186894.7	0.00	97
L2430003	430904.9	2184484.9	0.00	97
L2510001	436974.3	2195416	46.43	97
L2510002	431920.3	2192290.8	28.57	97
L5401813	487711	2158840.8	0.00	97
L5401814	490354.6	2151885.1	10.71	97
L5411821	489344	2165340.8	28.57	97
L5411822	484389.1	2167380.9	0.00	97
L5530001	527578.8	2171720.5	0.00	97
L5550001	518334.8	2161355	0.00	97
L5670001	503319.8	2168770	0.00	97
L5670002	504746	2168043.8	0.00	97
L5710001	496483.4	2154275.1	14.81	97
L5710002	497199	2159756.4	0.00	97
L5710003	498249	2159458.2	28.57	97
L5720001	494862.3	2163590.8	7.14	97
L6110001	523846.3	2199190.8	0.00	97
L6120002	520935.2	2191477	10.34	97
L8142111	408861.2	2209002.9	22.58	97
L8142112	410999	2201461.6	0.00	97
L8503011	425288.3	2193330.1	17.86	97
L8503013	428199	2200957.8	17.86	97
L8503014	429149	2199315.8	7.14	97
L8510001	431849	2200033.3	46.43	97
N3210001	351170	2178240.8	7.55	97
N4000611	414895.7	2151540.8	3.23	97
N4000612	415141.8	2151433.5	35.48	97
N4000613	408002	2159043.8	9.38	97
N4000614	413499	2156857	0.00	97
N4000615	413289.2	2156630.9	9.68	97
N4015211	407769.8	2161940.8	16.13	97
N4120011	391146.5	2168590.8	9.38	97
N4200010	399957.6	2148582.2	12.50	97
N4204011	390207	2150382.7	32.26	97
N4305211	387576.9	2146812.9	41.94	97
N5201711	366890.1	2160281.8	58.49	97
N6003021	365220.4	2140819.3	12.90	97
N6003022	368199	2136015.3	38.71	97
N6003023	375300	2134187.1	0.00	97
N6014011	385684.4	2138626.1	58.06	97
N6014012	366877.6	2140803.6	32.26	97
N6014013	373599	2141140.8	0.00	97
N7121811	356199	2166590	20.75	97
N8220021	357949	2134427.3	12.50	97
N8220022	355815.1	2137290.8	37.50	97
N8220023	355203.9	2134535.9	46.88	97
N8220024	353411.3	2129378.5	56.25	97
N8220025	350719.9	2137090.8	58.33	97
N8220026	353101.6	2137040.8	40.63	97
N8220027	347149	2141663.3	52.78	97
N8220028	349497.6	2131925.3	0.00	97
N8220029	349161.7	2134128.1	8.33	97
N8220030	363352.8	2131690.8	9.38	97
N8220031	347936.1	2133390.8	0.00	97
N8220032	349783.6	2137406.2	55.56	97
N8220033	350678.1	2130111.7	21.88	97
N8220034	357395.5	2133744.3	15.63	97
R0030001	463892.7	2108421.8	0.00	97
R0050001	459812.3	2118202.2	0.00	97
R0110021	437514.3	2126950.2	21.43	97
R0120001	442798.9	2123398.9	0.00	97
R0120002	442197.7	2122416.8	0.00	97
R0160001	430872.6	2120182.3	0.00	97
R1080011	458224.7	2076218.5	22.22	97
R1080012	456632.3	2076779.6	0.00	97
R1090010	447347.8	2085032.3	14.81	97
R1150001	462724	2066482.3	0.00	97
R1170001	447463.8	2072082.3	33.33	97
R1170002	446332.3	2073790	14.29	97
R1200001	458832.3	2094047.1	0.00	97
R1210001	458984.5	2094032.3	0.00	97
R1230001	453337.5	2092332.3	0.00	97
R1250010	437898.8	2098826.9	0.00	97
R2015011	428850.2	2107200.2	25.93	97
R2015012	428244.8	2104694.8	22.22	97
R2015013	427332.3	2101818.3	14.81	97
R2104011	417441.7	2116791.7	11.11	97
R2104012	418282.3	2110157.1	14.81	97
R2104013	416232.3	2119399.8	19.35	97
R2110030	417559.4	2105455.1	0.00	97
R2110031	415032.3	2108964.9	7.41	97
R2110032	416057.2	2106832.3	0.00	97
R2200001	418092	2097132.3	14.81	97
R2200002	416741.7	2096941.7	18.52	97
R2200003	413165.9	2097582.3	3.70	97
R2210001	423147.3	2092182.3	0.00	97
R2300001	429274.1	2080174.1	18.52	97
R2300002	432732.3	2085061.8	11.11	97
R2335081	433192	2078792	7.41	97
R3020001	418332.3	2081539.7	22.22	97
R3020002	423482.3	2075736.9	22.22	97
R3020003	419432.3	2084004.6	7.41	97
R3060001	416336.9	2066086.9	0.00	97
R3114010	399361.7	2086861.7	0.00	97
R3120001	400828.1	2085028.1	14.81	97
R3200001	401476.6	2105476.6	6.25	97
R3200002	399432.3	2106600.5	9.38	97
R3200003	399507.8	2105682.3	12.50	97
R3200004	401096.1	2105332.3	0.00	97
R3214021	394582.3	2101914.7	3.13	97
R3214022	395885.6	2102785.6	27.78	97
R3214023	398382.3	2104465	0.00	97
R3214024	397215	2103282.3	12.50	97
R3214025	393482.3	2099058	0.00	97
R3220001	398515.8	2099898.7	38.89	97
R3230001	389282.3	2100723.2	25.00	97
R3230002	388732.3	2096322.9	0.00	97
R3230003	390493.3	2095243.3	15.63	97
R3230004	390494.2	2095244.2	22.22	97
R4110011	401318.8	2064718.8	3.70	97
R4130014	388079.6	2076472.6	16.67	97
R4130015	388078.4	2076903.7	0.00	97
R5010002	388047.6	2047966.9	56.25	97
R5010003	389154.8	2047482.3	0.00	97
R5023310	383204.3	2053082.3	0.00	97
R5023311	386401.2	2050413.3	52.78	97
R5030001	375782.3	2047063.2	0.00	97
R5030002	380135.4	2049732.3	33.33	97
R5040001	373082.3	2051605.6	9.38	97
R5040002	374582.3	2056611.4	3.13	97
R5040003	375191.4	2054341.4	13.89	97
R5060001	397919.9	2054732.3	7.41	97
R5060004	390283.8	2054932.3	15.63	97
R5070001	390632.3	2052788.1	3.13	97
R5080001	389034.1	2056482.3	21.88	97
R5080002	390275.8	2057725.8	3.13	97
R5080003	387509.8	2059659.8	27.78	97
R5080004	389600.5	2061400.5	2.78	97
R5090001	381875.4	2060282.3	44.44	97
R5090002	382002.3	2060452.3	40.63	97
R5090003	386016.5	2061416.5	53.13	97
R5110001	378082.3	2065620	3.13	97
R5110002	375684.5	2065082.3	3.13	97
R5123311	373586.6	2069077.9	0.00	97
R5123312	371109.8	2071109.8	9.38	97
R5220001	376667.6	2100017.6	47.22	97
R5220002	368562.3	2100382.3	3.13	97
R6000001	409378.1	2126428.1	25.81	97
R6000002	405974.8	2129139.7	0.00	97
R6010001	407172.4	2137192.1	16.13	97
R6070001	396916.1	2128848.4	29.03	97
R6080011	386280.7	2119632.3	18.75	97
R6080012	388004.7	2120682.3	90.63	97
R6080013	387977.5	2118682.3	6.25	97
R6100011	390241.1	2117132.3	17.14	97
R6100012	392255.6	2114308.9	33.33	97
R6100013	385704.4	2116482.3	0.00	97
R6100014	385804.7	2115304.7	33.33	97
R6100015	388342.2	2114972.3	46.88	97
R6100016	384496.5	2114596.5	3.13	97
R6100017	385282.3	2116371.3	0.00	97
R6100018	386282.3	2118073.9	0.00	97
R6100019	384382.3	2117802.2	27.78	97
R6110001	383535.3	2112285.3	0.00	97
R6110002	383882.3	2113232.3	0.00	97
R6110003	382417.2	2109567.2	0.00	97
R6110004	385300.2	2112400.2	2.78	97
R6110005	380732.3	2109283.8	53.13	97
R6110006	380385.5	2107735.5	0.00	97
R6110007	384016.6	2110332.3	93.75	97
R6120001	383284.6	2106279.9	6.25	97
R6120002	384407.2	2105582.3	66.67	97
R6130001	377532.3	2103900.7	0.00	97
R6130002	378582.3	2107310.3	15.63	97
R6142921	376796.1	2109932.3	2.78	97
R6150001	371332.3	2122572.5	0.00	97
R6150002	371501.2	2120351.2	3.13	97
R6150003	374627.4	2122477.4	3.13	97
R6164610	370536.3	2119686.3	0.00	97
R6164711	366982.3	2117312.3	9.38	97
R6170001	369210.4	2113610.4	9.38	97
R6180010	364510.4	2111782.3	6.25	97
R7110001	357843.8	2086393.8	15.63	97
R7130010	350282.3	2096905.6	0.00	97
R7320001	361970.2	2119544.3	28.13	97
R7320002	358182.3	2124545	0.00	97
R7320003	360192.6	2126882.3	8.33	97
R7320004	361622.4	2126832.3	34.38	97
R7320005	360152.8	2119882.3	22.22	97
S0100011	360532.3	2064205.9	72.22	97
S0114511	355682.3	2075082.3	2.78	97
S0120011	346890	2079082.3	5.56	97
