F_CdSiteHy;X;Y;25/05/2012;25/06/2012;25/07/2012;25/08/2012;25/09/2012;25/05/2013;25/06/2013;25/07/2013;25/08/2013;25/09/2013;25/05/2014;25/06/2014;25/07/2014;25/08/2014;25/09/2014;25/05/2015;25/06/2015;25/07/2015;25/08/2015;25/09/2015;25/05/2016;25/06/2016;25/07/2016;25/08/2016;25/09/2016;25/10/2016;25/11/2016
A0220651;1041171.77;6729475.105;1;1;1;1;1;1;1;1;0;NA;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;NA;NA
A0240002;1037400.246;6735788.845;1;1;1;0;1;1;1;1;1;NA;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;NA;NA
A0240003;1034615.843;6734594.157;1;1;1;1;1;1;1;1;1;NA;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NA;NA
A0250001;1032761.47;6737540.71;1;1;1;1;1;1;1;1;1;NA;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NA;NA
A0430301;1043629.676;6802471.289;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NA;NA
A0530741;1045560.766;6816938.786;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;NA;NA
A1020001;1029996.651;6725304.144;1;1;1;1;1;1;1;1;1;NA;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NA;NA
A1030001;1023118.964;6726634.663;1;1;1;1;1;1;1;1;1;NA;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NA;NA
A1060002;1031115.539;6727392.967;1;1;1;1;1;1;1;1;1;NA;1;1;1;1;1;1;1;0;0;1;1;1;1;1;1;NA;NA
A1100201;1019855.3;6717954.5;1;1;1;1;1;1;1;1;1;NA;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NA;NA
A1110001;1017378.651;6723393.301;1;1;1;1;1;1;1;1;1;NA;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NA;NA
A1140001;1004572.349;6744723.852;1;1;1;1;1;1;1;1;1;NA;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NA;NA
A1150841;1012460.795;6740220.988;1;1;0;1;1;1;1;0;0;NA;1;0;1;1;1;1;1;0;0;1;1;1;1;0;0;NA;NA
A1222011;1004603.537;6747774.733;1;1;1;1;1;1;1;1;1;NA;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;NA;NA
A1310001;1018454.169;6747705;1;1;0;0;0;1;1;0;0;NA;1;0;1;0;0;1;0;0;0;0;1;1;1;0;0;NA;NA
A1402021;996092.7113;6766200;1;1;1;1;1;1;1;1;1;NA;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NA;NA
A1420352;999632.7719;6761108.795;1;1;1;1;1;1;1;1;1;NA;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NA;NA
A1440201;1005563.904;6753093.193;1;1;1;1;1;1;1;1;1;NA;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;NA;NA
A1510581;1009650.699;6768695.711;1;1;1;1;1;1;1;1;1;NA;1;0;1;1;1;1;1;0;0;1;1;1;1;0;0;NA;NA
A1520201;1019273.988;6765142.301;1;1;1;1;1;1;1;1;1;NA;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NA;NA
A1560201;1021595.4;6769927.5;1;1;1;1;1;1;1;1;1;NA;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NA;NA
A1560202;1022737.301;6777282.241;1;1;1;1;1;1;1;1;0;NA;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NA;NA
A1570225;1023900.463;6777487.346;1;1;1;1;1;1;1;1;1;NA;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NA;NA
A2030531;1013332.699;6779067.433;1;1;1;1;1;1;1;1;1;NA;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;NA;NA
A2120201;1016264.916;6791725.699;1;1;1;1;1;1;1;1;1;NA;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NA;NA
A2130201;1017325.362;6789060.699;1;1;1;1;1;1;1;1;1;NA;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NA;NA
A2140102;1023353.435;6793380.747;1;1;1;0;0;1;1;0;0;NA;1;0;0;0;1;1;0;0;0;0;1;1;0;0;0;NA;NA
A2150302;1024750.509;6795838.844;1;1;1;1;1;1;1;1;1;NA;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NA;NA
A2160101;1028718.114;6796273.8;1;1;0;0;0;1;1;0;0;NA;1;0;1;0;1;1;0;0;0;0;1;1;0;0;0;NA;NA
A2210001;1026980.119;6800227.469;1;1;0;0;0;1;1;0;0;NA;1;0;1;0;0;1;0;0;0;0;1;1;0;0;0;NA;NA
A2300001;1012220.762;6811260.767;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NA;NA
A2310201;1019037.88;6813603.229;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NA;NA
A2320701;1009129.446;6800382.096;1;1;1;1;1;1;1;1;1;NA;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NA;NA
A2330001;1015208.121;6804512.385;1;1;1;0;0;1;1;1;0;NA;1;0;1;1;1;1;1;0;0;1;1;1;1;0;0;NA;NA
A2360031;1035565.144;6804055.904;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;NA;NA
A2360032;1039342.888;6815036.232;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;1;1;1;1;1;1;NA;NA
A2520001;1034921.41;6822855.699;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NA;NA
A2550001;1032754.253;6813853.952;1;1;0;0;0;1;1;0;1;1;1;0;1;0;1;1;1;0;1;1;1;1;1;0;1;NA;NA
A2550002;1035253.41;6815641.59;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;0;1;1;1;1;1;1;1;NA;NA
A2600001;1023887.904;6826592.253;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NA;NA
A2610201;1038095.757;6830420.979;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NA;NA
A2730381;1011994.419;6832687.42;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NA;NA
