HER;Inter_logit;Slope_logit;NASH_Calib_logit;P_assecs;Nb_Assecs;KGE;CVobs
1;0.36;-6.848;0.866;0.102;27;0.928;0.99
2;-1.187;-4.96;0.635;0.039;21;0.782;1.157
3;-0.059;-9.846;0.741;0.053;21;0.828;1.296
4;-1.496;-8.069;0.631;0.034;17;0.697;1.296
5;-0.671;-6.347;0.648;0.065;27;0.69;1.144
6;2;-9.029;0.875;0.246;32;0.919;0.819
7;0.823;-9.374;0.837;0.158;27;0.892;1.16
8;0.846;-10.178;0.858;0.139;25;0.908;1.186
9;0.556;-6.499;0.904;0.112;33;0.944;0.876
10;-0.01;-7.595;0.795;0.11;32;0.859;0.882
11;-0.296;-6.906;0.835;0.093;26;0.879;0.917
12;0.501;-8.848;0.784;0.111;27;0.888;1.043
13;-1.022;-3.958;0.738;0.085;27;0.839;0.696
14;0.935;-10.591;0.888;0.123;26;0.918;1.18
15;0.175;-6.42;0.783;0.134;25;0.864;0.92
16;0.204;-9.272;0.773;0.161;22;0.86;0.965
17;0.297;-8.313;0.753;0.076;18;0.862;1.138
18;0.044;-5.556;0.635;0.162;28;0.742;0.805
19;0.945;-8.692;0.658;0.18;20;0.783;1.004
20;0.869;-7.729;0.884;0.123;28;0.94;0.88
21;0;-9.148;0.807;0.076;24;0.881;1.161
22;-0.242;-6.966;0.576;0.137;22;0.692;1.003
