HER;Inter_log;Slope_log;NASH_Calib_log;P_assecs;Nb_Assecs;KGE;CVobs
1;-6.087;-18.766;0.875;0.102;27;0.84;0.99
2;-1.22;-6.487;0.673;0.039;21;0.733;1.157
3;-6.038;-10.718;0.69;0.053;21;0.612;1.296
4;-3.174;-4.968;0.592;0.034;17;0.585;1.296
5;-4.317;-10.387;0.618;0.065;27;0.627;1.144
6;-20.561;-44.348;0.859;0.246;32;0.827;0.819
7;-12.753;-23.557;0.811;0.158;27;0.768;1.16
8;-12.357;-21.942;0.817;0.139;25;0.739;1.186
9;-7.432;-22.534;0.891;0.112;33;0.872;0.876
10;-7.988;-15.768;0.773;0.11;32;0.754;0.882
11;-6.045;-13.456;0.809;0.093;26;0.8;0.917
12;-12.718;-21.009;0.822;0.111;27;0.819;1.043
13;-0.74;-8.788;0.748;0.085;27;0.809;0.696
14;-12.923;-22.804;0.833;0.123;26;0.723;1.18
15;-6.611;-18.41;0.78;0.134;25;0.802;0.92
16;-11.037;-17.529;0.756;0.161;22;0.765;0.965
17;-6.606;-15.12;0.768;0.076;18;0.692;1.138
18;-4.529;-17.659;0.627;0.162;28;0.695;0.805
19;-10.732;-24.543;0.647;0.18;20;0.657;1.004
20;-9.493;-24.131;0.888;0.123;28;0.837;0.88
21;-7.078;-13.12;0.778;0.076;24;0.704;1.161
22;-4.715;-12.665;0.542;0.137;22;0.615;1.003
