HER;Inter_log;Slope_log;NASH_Calib_log;P_assecs;Nb_Assecs;KGE;CVobs
1;-5.66;-18.29;0.876;0.102;27;0.846;0.99
2;-1.223;-6.602;0.668;0.039;21;0.729;1.157
3;-5.977;-10.674;0.688;0.053;21;0.611;1.296
4;-3.105;-4.882;0.594;0.034;17;0.588;1.296
5;-4.527;-10.708;0.633;0.065;27;0.634;1.144
6;-20.202;-44.476;0.836;0.246;32;0.816;0.819
7;-12.862;-23.633;0.813;0.158;27;0.768;1.16
8;-11.522;-20.904;0.808;0.139;25;0.746;1.186
9;-7.166;-22.002;0.885;0.112;33;0.872;0.876
10;-7.815;-15.446;0.77;0.11;32;0.759;0.882
11;-5.853;-13.385;0.801;0.093;26;0.798;0.917
12;-12.764;-21;0.819;0.111;27;0.816;1.043
13;-0.92;-8.593;0.742;0.085;27;0.804;0.696
14;-13.109;-23.198;0.852;0.123;26;0.729;1.18
15;-5.55;-17.413;0.759;0.134;25;0.796;0.92
16;-8.689;-16.494;0.633;0.161;22;0.7;0.965
17;-7.372;-16.43;0.774;0.076;18;0.678;1.138
18;-4.812;-18.458;0.615;0.162;28;0.681;0.805
19;-10.486;-24.005;0.643;0.18;20;0.656;1.004
20;-9.456;-23.921;0.859;0.123;28;0.829;0.88
21;-7.165;-13.212;0.781;0.076;24;0.705;1.161
22;-5.353;-13.003;0.576;0.137;22;0.64;1.003
