HER;Inter_logit;Slope_logit;NASH_Calib_logit;P_assecs;Nb_Assecs;KGE;CVobs
1;0.28;-6.62;0.867;0.102;27;0.927;0.99
2;-1.168;-4.934;0.629;0.039;21;0.776;1.157
3;-0.073;-9.778;0.738;0.053;21;0.826;1.296
4;-1.538;-7.935;0.633;0.034;17;0.695;1.296
5;-0.592;-6.554;0.668;0.065;27;0.708;1.144
6;1.985;-8.884;0.849;0.246;32;0.899;0.819
7;0.805;-9.275;0.833;0.158;27;0.887;1.16
8;0.746;-9.906;0.85;0.139;25;0.901;1.186
9;0.497;-6.399;0.897;0.112;33;0.94;0.876
10;-0.069;-7.448;0.79;0.11;32;0.856;0.882
11;-0.31;-6.786;0.821;0.093;26;0.873;0.917
12;0.505;-8.892;0.782;0.111;27;0.886;1.043
13;-1.067;-3.991;0.738;0.085;27;0.828;0.696
14;1.003;-10.756;0.913;0.123;26;0.936;1.18
15;0.118;-6.183;0.767;0.134;25;0.856;0.92
16;0.106;-8.01;0.667;0.161;22;0.779;0.965
17;0.569;-8.836;0.751;0.076;18;0.867;1.138
18;0.089;-5.531;0.619;0.162;28;0.726;0.805
19;0.891;-8.627;0.656;0.18;20;0.78;1.004
20;0.812;-7.56;0.84;0.123;28;0.917;0.88
21;0.021;-9.217;0.811;0.076;24;0.885;1.161
22;-0.246;-7.046;0.601;0.137;22;0.709;1.003
